"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"Schizophrenia",0.944444444444444,-0.628472222222222,-0.68125,-0.497159090909091,-1,-0.721590909090909,-0.761904761904762,-0.645833333333333,-0.8125,-0.571428571428571,-0.3125,-0.546195652173913,-0.6875,-0.84375,-0.581730769230769,-0.581730769230769,-0.761029411764706,-0.758223684210526,-0.475,0.40625,0.598214285714286,0.696022727272727,0.53125,0.803571428571429,0.8125,0.664402173913043,-0.4375,0.78125,0.446022727272727,0.875,0.90625,0.75,0.85,0.8125,-0.59375,0.607142857142857,0.53125,0.729779411764706,0.53125,0.465277777777778
"Liver_carcinoma",-0.408602150537634,0.579242636746143,0.419354838709678,-0.290322580645161,0.967741935483871,0.387096774193549,0.741935483870968,0.774193548387097,0.404692082111437,0.967741935483871,0.645161290322581,0.561827956989247,0.430443548387097,-0.794044665012406,0.741935483870968,0.412634408602151,-0.686379928315412,0.774193548387097,0.555178268251273,0.617302052785924,-0.778225806451612,0.354838709677419,-0.692240627724498,0.451612903225807,-0.592375366568915,-0.467741935483871,-0.467741935483871,-0.374193548387097,0.451612903225807,-0.709677419354838,-0.652217741935483,-0.592375366568915,-0.741935483870967,-0.649560117302052,0.645161290322581,0.531769305962855,-0.62442396313364,-0.477419354838709,-0.903225806451612,-0.870967741935483
"Alcoholic_Intoxication,_Chronic",-0.5625,-0.670955882352941,-0.834821428571429,-0.9375,-0.59375,-0.368055555555556,-0.8,0.440217391304348,-0.84375,0.64375,-0.520833333333333,-0.64,-0.65625,-0.84375,0.810855263157895,0.59375,-0.96875,0.53125,-0.65625,0.598214285714286,0.545833333333333,0.6875,-0.721590909090909,0.78125,0.369485294117647,-0.28125,-0.65625,0.708333333333333,0.598214285714286,0.690340909090909,0.875,0.839583333333333,0.944444444444444,0.60625,0.46875,0.90625,-0.544642857142857,0.9375,-0.375,-0.4375
"Malignant_Neoplasms",0.653846153846154,0.65625,-0.53125,0.65,0.515151515151515,-0.5625,0.34375,0.51875,-0.38125,-0.516129032258065,-0.479166666666667,-0.674342105263158,-0.875,-0.851102941176471,0.489583333333333,0.440217391304348,-0.5,0.385416666666667,0.75,0.6875,-0.842105263157895,0.76875,-0.590460526315789,-0.5,0.3625,0.696022727272727,0.6875,-0.28125,0.71875,0.6875,0.502083333333333,0.71875,-0.629464285714286,-0.56875,0.708333333333333,-0.39375,-0.580882352941176,-0.625,-0.90625,0.6875
"Prostatic_Neoplasms",0.5625,-0.875,0.700892857142857,-0.645833333333333,-0.6875,-0.599431818181818,-0.525297619047619,-0.851102941176471,0.44375,0.71875,0.730654761904762,0.819852941176471,-0.71875,0.78125,-0.456018518518519,0.65625,0.741666666666667,-0.90625,-0.727272727272727,-0.8125,0.65625,-1,-0.516129032258065,-0.4375,-0.59375,0.375,0.6875,0.545833333333333,-0.4375,-0.524305555555556,1,0.336309523809524,0.8125,0.5625,-0.78125,0.770833333333333,-0.520833333333333,0.78125,0.64375,-0.40625
"Malignant_neoplasm_of_prostate",0.5625,-0.875,0.700892857142857,-0.645833333333333,-0.6875,-0.599431818181818,-0.525297619047619,-0.851102941176471,0.44375,0.71875,0.730654761904762,0.819852941176471,-0.71875,0.78125,-0.456018518518519,0.65625,0.741666666666667,-0.90625,-0.727272727272727,-0.8125,0.65625,-1,-0.516129032258065,-0.4375,-0.59375,0.375,0.6875,0.545833333333333,-0.4375,-0.524305555555556,1,0.336309523809524,0.8125,0.5625,-0.78125,0.770833333333333,-0.520833333333333,0.78125,0.64375,-0.40625
"Depression,_Bipolar",0.65,-0.590460526315789,0.607638888888889,0.566666666666667,0.484879032258065,0.336309523809524,-0.516129032258065,-0.3125,-0.760416666666667,0.44375,0.550480769230769,-0.59375,-0.65625,-0.368055555555556,-0.4375,-0.4375,-0.4975,-0.851102941176471,-0.375,0.6875,0.5,0.375,0.53125,-0.456018518518519,0.625,0.572916666666667,-0.645833333333333,0.772727272727273,-0.46875,-0.798076923076923,0.803571428571429,0.729779411764706,0.62962962962963,0.424768518518518,-0.834821428571429,0.772727272727273,-0.760416666666667,-0.485991379310345,-0.375,-0.59375
"Colorectal_Carcinoma",0.653846153846154,0.645161290322581,-0.473118279569892,-0.64,-0.592592592592592,0.689303904923599,-0.466893039049236,-0.367511520737327,0.653846153846154,-0.666666666666666,-0.870967741935483,-0.606039807824296,-0.336559139784946,-0.711331679073614,0.488479262672811,0.352534562211982,-0.699308755760368,0.586206896551724,0.387096774193548,0.67741935483871,-0.451612903225806,0.903225806451613,-0.32258064516129,-0.258064516129032,-0.398185483870968,0.774193548387097,0.387096774193549,0.290322580645161,0.375268817204301,0.732377538829152,0.670967741935484,0.32258064516129,-0.580645161290322,0.290322580645161,-0.451612903225806,0.390967741935484,-0.387096774193548,0.53125,-0.451612903225806,-0.32258064516129
"Bipolar_Disorder",0.65,-0.590460526315789,0.607638888888889,0.566666666666667,0.484879032258065,0.336309523809524,-0.516129032258065,-0.3125,-0.760416666666667,0.44375,0.550480769230769,-0.59375,-0.65625,-0.368055555555556,-0.4375,-0.4375,-0.4975,-0.851102941176471,-0.375,0.6875,0.5,0.375,0.53125,-0.456018518518519,0.625,0.572916666666667,-0.645833333333333,0.772727272727273,-0.46875,-0.798076923076923,0.803571428571429,0.729779411764706,0.62962962962963,0.424768518518518,-0.834821428571429,0.772727272727273,-0.760416666666667,-0.485991379310345,-0.375,-0.59375
"Anoxemia",0.944444444444444,-0.628472222222222,-0.68125,-0.497159090909091,-1,-0.721590909090909,-0.761904761904762,-0.645833333333333,-0.8125,-0.571428571428571,-0.3125,-0.546195652173913,-0.6875,-0.84375,-0.581730769230769,-0.581730769230769,-0.761029411764706,-0.758223684210526,-0.475,0.40625,0.598214285714286,0.696022727272727,0.53125,0.803571428571429,0.8125,0.664402173913043,-0.4375,0.78125,0.446022727272727,0.875,0.90625,0.75,0.85,0.8125,-0.59375,0.607142857142857,0.53125,0.729779411764706,0.53125,0.465277777777778
"Anoxia",0.944444444444444,-0.628472222222222,-0.68125,-0.497159090909091,-1,-0.721590909090909,-0.761904761904762,-0.645833333333333,-0.8125,-0.571428571428571,-0.3125,-0.546195652173913,-0.6875,-0.84375,-0.581730769230769,-0.581730769230769,-0.761029411764706,-0.758223684210526,-0.475,0.40625,0.598214285714286,0.696022727272727,0.53125,0.803571428571429,0.8125,0.664402173913043,-0.4375,0.78125,0.446022727272727,0.875,0.90625,0.75,0.85,0.8125,-0.59375,0.607142857142857,0.53125,0.729779411764706,0.53125,0.465277777777778
"Hypoxia",0.944444444444444,-0.628472222222222,-0.68125,-0.497159090909091,-1,-0.721590909090909,-0.761904761904762,-0.645833333333333,-0.8125,-0.571428571428571,-0.3125,-0.546195652173913,-0.6875,-0.84375,-0.581730769230769,-0.581730769230769,-0.761029411764706,-0.758223684210526,-0.475,0.40625,0.598214285714286,0.696022727272727,0.53125,0.803571428571429,0.8125,0.664402173913043,-0.4375,0.78125,0.446022727272727,0.875,0.90625,0.75,0.85,0.8125,-0.59375,0.607142857142857,0.53125,0.729779411764706,0.53125,0.465277777777778
"Hypoxemia",0.944444444444444,-0.628472222222222,-0.68125,-0.497159090909091,-1,-0.721590909090909,-0.761904761904762,-0.645833333333333,-0.8125,-0.571428571428571,-0.3125,-0.546195652173913,-0.6875,-0.84375,-0.581730769230769,-0.581730769230769,-0.761029411764706,-0.758223684210526,-0.475,0.40625,0.598214285714286,0.696022727272727,0.53125,0.803571428571429,0.8125,0.664402173913043,-0.4375,0.78125,0.446022727272727,0.875,0.90625,0.75,0.85,0.8125,-0.59375,0.607142857142857,0.53125,0.729779411764706,0.53125,0.465277777777778
"Intellectual_Disability",0.586206896551724,-0.553225806451613,-0.767990074441687,-0.431590656284761,-0.704545454545454,-0.800248138957816,-0.516129032258064,0.441687344913151,-0.715542521994134,0.428453267162945,0.503421309872923,-0.544179523141655,-0.612903225806451,-0.774193548387096,-0.575682382133995,-0.631336405529954,-0.635483870967741,-0.59274193548387,-0.612903225806451,0.419354838709678,0.306451612903226,0.634408602150538,-0.354838709677419,0.86989247311828,0.838709677419355,0.424884792626728,-0.638709677419354,0.73715651135006,0.500948766603416,0.512406947890819,0.610542879622345,0.645161290322581,0.812316715542522,0.838709677419355,0.438709677419355,0.548387096774194,0.387096774193549,0.546984572230014,0.387096774193549,0.614439324116744
"Substance_Withdrawal_Syndrome",0.944444444444444,-0.628472222222222,-0.68125,-0.497159090909091,-1,-0.721590909090909,-0.761904761904762,-0.645833333333333,-0.8125,-0.571428571428571,-0.3125,-0.546195652173913,-0.6875,-0.84375,-0.581730769230769,-0.581730769230769,-0.761029411764706,-0.758223684210526,-0.475,0.40625,0.598214285714286,0.696022727272727,0.53125,0.803571428571429,0.8125,0.664402173913043,-0.4375,0.78125,0.446022727272727,0.875,0.90625,0.75,0.85,0.8125,-0.59375,0.607142857142857,0.53125,0.729779411764706,0.53125,0.465277777777778
"Drug_Withdrawal_Symptoms",0.944444444444444,-0.628472222222222,-0.68125,-0.497159090909091,-1,-0.721590909090909,-0.761904761904762,-0.645833333333333,-0.8125,-0.571428571428571,-0.3125,-0.546195652173913,-0.6875,-0.84375,-0.581730769230769,-0.581730769230769,-0.761029411764706,-0.758223684210526,-0.475,0.40625,0.598214285714286,0.696022727272727,0.53125,0.803571428571429,0.8125,0.664402173913043,-0.4375,0.78125,0.446022727272727,0.875,0.90625,0.75,0.85,0.8125,-0.59375,0.607142857142857,0.53125,0.729779411764706,0.53125,0.465277777777778
"Withdrawal_Symptoms",0.944444444444444,-0.628472222222222,-0.68125,-0.497159090909091,-1,-0.721590909090909,-0.761904761904762,-0.645833333333333,-0.8125,-0.571428571428571,-0.3125,-0.546195652173913,-0.6875,-0.84375,-0.581730769230769,-0.581730769230769,-0.761029411764706,-0.758223684210526,-0.475,0.40625,0.598214285714286,0.696022727272727,0.53125,0.803571428571429,0.8125,0.664402173913043,-0.4375,0.78125,0.446022727272727,0.875,0.90625,0.75,0.85,0.8125,-0.59375,0.607142857142857,0.53125,0.729779411764706,0.53125,0.465277777777778
"Manic_Disorder",0.65,-0.590460526315789,0.607638888888889,0.566666666666667,0.484879032258065,0.336309523809524,-0.516129032258065,-0.3125,-0.760416666666667,0.44375,0.550480769230769,-0.59375,-0.65625,-0.368055555555556,-0.4375,-0.4375,-0.4975,-0.851102941176471,-0.375,0.6875,0.5,0.375,0.53125,-0.456018518518519,0.625,0.572916666666667,-0.645833333333333,0.772727272727273,-0.46875,-0.798076923076923,0.803571428571429,0.729779411764706,0.62962962962963,0.424768518518518,-0.834821428571429,0.772727272727273,-0.760416666666667,-0.485991379310345,-0.375,-0.59375
"Manic",0.65,-0.590460526315789,0.607638888888889,0.566666666666667,0.484879032258065,0.336309523809524,-0.516129032258065,-0.3125,-0.760416666666667,0.44375,0.550480769230769,-0.59375,-0.65625,-0.368055555555556,-0.4375,-0.4375,-0.4975,-0.851102941176471,-0.375,0.6875,0.5,0.375,0.53125,-0.456018518518519,0.625,0.572916666666667,-0.645833333333333,0.772727272727273,-0.46875,-0.798076923076923,0.803571428571429,0.729779411764706,0.62962962962963,0.424768518518518,-0.834821428571429,0.772727272727273,-0.760416666666667,-0.485991379310345,-0.375,-0.59375
"Profound_Mental_Retardation",0.586206896551724,-0.553225806451613,-0.767990074441687,-0.431590656284761,-0.704545454545454,-0.800248138957816,-0.516129032258064,0.441687344913151,-0.715542521994134,0.428453267162945,0.503421309872923,-0.544179523141655,-0.612903225806451,-0.774193548387096,-0.575682382133995,-0.631336405529954,-0.635483870967741,-0.59274193548387,-0.612903225806451,0.419354838709678,0.306451612903226,0.634408602150538,-0.354838709677419,0.86989247311828,0.838709677419355,0.424884792626728,-0.638709677419354,0.73715651135006,0.500948766603416,0.512406947890819,0.610542879622345,0.645161290322581,0.812316715542522,0.838709677419355,0.438709677419355,0.548387096774194,0.387096774193549,0.546984572230014,0.387096774193549,0.614439324116744
"Mental_Retardation,_Psychosocial",0.586206896551724,-0.553225806451613,-0.767990074441687,-0.431590656284761,-0.704545454545454,-0.800248138957816,-0.516129032258064,0.441687344913151,-0.715542521994134,0.428453267162945,0.503421309872923,-0.544179523141655,-0.612903225806451,-0.774193548387096,-0.575682382133995,-0.631336405529954,-0.635483870967741,-0.59274193548387,-0.612903225806451,0.419354838709678,0.306451612903226,0.634408602150538,-0.354838709677419,0.86989247311828,0.838709677419355,0.424884792626728,-0.638709677419354,0.73715651135006,0.500948766603416,0.512406947890819,0.610542879622345,0.645161290322581,0.812316715542522,0.838709677419355,0.438709677419355,0.548387096774194,0.387096774193549,0.546984572230014,0.387096774193549,0.614439324116744
"Mental_deficiency",0.586206896551724,-0.553225806451613,-0.767990074441687,-0.431590656284761,-0.704545454545454,-0.800248138957816,-0.516129032258064,0.441687344913151,-0.715542521994134,0.428453267162945,0.503421309872923,-0.544179523141655,-0.612903225806451,-0.774193548387096,-0.575682382133995,-0.631336405529954,-0.635483870967741,-0.59274193548387,-0.612903225806451,0.419354838709678,0.306451612903226,0.634408602150538,-0.354838709677419,0.86989247311828,0.838709677419355,0.424884792626728,-0.638709677419354,0.73715651135006,0.500948766603416,0.512406947890819,0.610542879622345,0.645161290322581,0.812316715542522,0.838709677419355,0.438709677419355,0.548387096774194,0.387096774193549,0.546984572230014,0.387096774193549,0.614439324116744
"Endogenous_depression",0.944444444444444,-0.628472222222222,-0.68125,-0.497159090909091,-1,-0.721590909090909,-0.761904761904762,-0.645833333333333,-0.8125,-0.571428571428571,-0.3125,-0.546195652173913,-0.6875,-0.84375,-0.581730769230769,-0.581730769230769,-0.761029411764706,-0.758223684210526,-0.475,0.40625,0.598214285714286,0.696022727272727,0.53125,0.803571428571429,0.8125,0.664402173913043,-0.4375,0.78125,0.446022727272727,0.875,0.90625,0.75,0.85,0.8125,-0.59375,0.607142857142857,0.53125,0.729779411764706,0.53125,0.465277777777778
"Autism_Spectrum_Disorders",0.875,-0.447916666666667,-0.870833333333333,-0.6875,-0.802083333333333,-0.84375,-1,-0.581730769230769,-0.6875,0.59375,0.336805555555556,-0.39375,-0.6875,-0.526785714285714,-0.477272727272727,-0.629464285714286,-0.96875,-0.524305555555556,0.493055555555556,0.550480769230769,-0.34375,0.739130434782609,0.53125,0.75,0.6875,-0.75,-0.78125,0.85,-0.625,0.909926470588235,0.803571428571429,0.542613636363636,0.586206896551724,0.78125,0.875,0.9375,-0.5,0.839583333333333,-0.580882352941176,0.614583333333333
